Resort Name,State,Double Chairs,Quad Chairs,Surface Lifts,Base,Summit,Vertical Drop,Longest Run,Snow Making,Beginner,Intermediate,Advanced,Expert
Elk Mountain Ski Resort,"Pennsylvania, USA",5,1,1,1693ft,2693ft,1000ft,0.7mi,146ac,0.22,0.37,0.41,0
Elko SnoBowl,"Nevada, USA",1,0,1,6300ft,7000ft,700ft,1mi,2ac,0.08,0.9,0.01,0.01
Elm Creek Winter Recreation Area,"Minnesota, USA",0,0,3,868ft,928ft,60ft,1mi,20ac,0.2,0.6,0,0.2
Enchanted Forest Ski Area,"New Mexico, USA",0,0,0,9820ft,10078ft,400ft,2.5mi,0ac,0.3,0.5,0.02,0.18
Four Lakes,"Illinois, USA",0,0,7,400ft,500ft,100ft,0.1mi,9ac,0.4,0.3,0.3,0
Giants Ridge Resort,"Minnesota, USA",2,1,2,1472ft,1972ft,500ft,0.8mi,202ac,0.31,0.44,0.25,0
Gore Mountain,"New York, USA",2,2,4,998ft,3600ft,2537ft,4.5mi,425ac,0.1,0.5,0.35,0.05
Grand Geneva,"Wisconsin, USA",3,0,3,875ft,1086ft,211ft,0.2mi,30ac,0.4,0.3,0.2,0.1
Grand Targhee Resort,"Wyoming, USA",1,1,1,7851ft,9920ft,2270ft,2.7mi,0ac,0.33,0.37,0.25,0.05
Granite Gorge,"New Hampshire, USA",1,0,3,800ft,1325ft,525ft,0.5mi,39ac,0.35,0.35,0.15,0.15
Granite Peak Ski Area,"Wisconsin, USA",0,0,2,1242ft,1942ft,700ft,0.6mi,160ac,0.3,0.35,0.3,0.05
Great Divide,"Montana, USA",5,0,1,5750ft,7330ft,1580ft,3mi,150ac,0.1,0.45,0.45,0
Greek Peak,"New York, USA",4,1,2,1148ft,2100ft,952ft,1.5mi,184ac,0.48,0.21,0.24,0.07
Gunstock,"New Hampshire, USA",0,2,2,900ft,2300ft,1400ft,1.5mi,176ac,0.12,0.61,0,0.27
Heavenly Mountain Resort,"California, USA",3,1,8,6565ft,10067ft,3502ft,5.5mi,3360ac,0.2,0.45,0.3,0.05
Hickory Ski Center,"New York, USA",0,0,3,700ft,1900ft,1200ft,1mi,0ac,0.3,0.3,0.4,0
Hidden Valley Ski Area,"Missouri, USA",0,2,3,2316ft,2566ft,310ft,0.1mi,30ac,0.3,0.35,0.35,0
Hilltop Ski Area,"Alaska, USA",0,0,2,1796ft,2090ft,294ft,1mi,30ac,0.8,0.1,0,0.1
Hogadon Basin,"Wyoming, USA",1,0,1,7400ft,8000ft,600ft,0.6mi,32ac,0.08,0.31,0.38,0.23
Holiday Mountain,"New York, USA",1,1,2,1150ft,1550ft,400ft,0.4mi,37ac,0.3,0.27,0.31,0.12
Holiday Valley,"New York, USA",0,8,2,1500ft,2250ft,750ft,1mi,266ac,0.37,0.25,0.37,0.02
